Nombre_Articulo,Temperatura,Peso_Bruto,Volumen,Cantidad,Precio_unitario,Precio_descontado,Total_Linea_Soles
SD FELINE ADULT HAIRBALL CONTROL 3.5 LB .1.6 K.,Hasta 30 grados,1.58,0.00435,24,65.41,43.82,"1,051.79"
PD FELINE C.D MULTICARE 4 LB .1.8 K.,Hasta 30 grados,1.81,0.00464,135,76.14,51.01,"6,886.86"
PD CANINE K.D DRY 17.6 LB .8 K.,Hasta 30 grados,7.9,0.0215,24,217.3,145.59,"3,494.18"
PD CANINE U.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.009563,24,102.53,68.7,"1,648.68"
SD PUPPY SMALL . TOY 4.5 LB .2 K.,Hasta 30 grados,2.04,0.0051,24,59.54,39.89,957.4
SD CANINE 7 . ACTIVE LONGEVITY SMALL . TOY 4.5 LB .2 K.,Hasta 30 grados,3.04,0.008,12,59.54,39.89,478.7
KLIN KAT 5KG .Bolsa.,Hasta 30 grados,5,0.006517,30,19.87,14.83,444.93
PD CANINE METABOLIC TREATS 12OZ .340 G.,Hasta 30 grados,0.4,0.00203,6,22.88,15.33,91.98
SD PUPPY H. DEVELOPMENT 4.5 LB .2 K.,Hasta 30 grados,2.04,0.0051,5,47.6,47.6,238
SD PUPPY H. DEVELOPMENT SMB 4.5 LB .2 K.,Hasta 30 grados,2.04,0.0053,5,47.6,47.6,238
PD CANINE R.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.01541,3,87.85,87.85,263.55
SD CANINE ADULT L.R LARGE BREED 33 LB .15 K.,Hasta 30 grados,15.9,0.0401,4,205.3,205.3,821.2
SD PUPPY SMALL . TOY 4.5 LB .2 K.,Hasta 30 grados,2.04,0.0051,3,47.64,47.64,142.92
SD CANINE ADULT SMALL . TOY 4.5 LB .2 K.,Hasta 30 grados,2.05,0.01131,5,46.86,46.86,234.3
PROCYTE STAIN PACK .98-71001-00.,Hasta 30 grados,2.08,0.013018,1,526.27,421.02,421.02
SD PUPPY SMB 15.5 LB .7 K.,Hasta 30 grados,7.03,0.0182,10,158,110.6,"1,106.00"
SD CANINE ADULT SMB 5 LB .2.27 K.,Hasta 30 grados,2.26,0.006,14,60.52,42.36,593.1
SD CANINE 7 . ACTIVE LONGEVITY SMB 5 LB .2.25 K.,Hasta 30 grados,2.26,0.006,6,60.52,42.36,254.18
SD CANINE ADULT L.R SMB 4.5 LB .2 K.,Hasta 30 grados,2.04,0.0051,53,54.68,38.28,"2,028.63"
SD CANINE ADULT SMB 17.5 LB .8 K.,Hasta 30 grados,7.94,0.0203,8,143.64,100.55,804.38
SD CANINE 7 . ACTIVE LONGEVITY SMB 17.5 LB .8 K.,Hasta 30 grados,7.94,0.02,11,148.43,103.9,"1,142.91"
SD FELINE ADULT LIGHT 4 LB .1.8 K.,Hasta 30 grados,1.81,0.004,1,68.68,48.08,48.08
SD FELINE ADULT OPTIMAL CARE 4 LB .1.8 K. .6797C.,Hasta 30 grados,1.8,0.00415,1,63.56,44.49,44.49
SD KITTEN H. DEVELOPMENT 3.5 LB .1.6 K.,Hasta 30 grados,1.58,0.00345,3,66.38,46.47,139.4
SD FELINE ADULT HAIRBALL CONTROL 3.5 LB .1.6 K.,Hasta 30 grados,1.58,0.00435,5,65.41,45.79,228.94
SD FELINE ADULT HAIRBALL CONTROL 7 LB .3.2 K.,Hasta 30 grados,3.17,0.00765,5,123.01,86.11,430.54
SD KITTEN H. DEVELOPMENT 7 LB .3.2 K.,Hasta 30 grados,3.17,0.00756,2,115.2,80.64,161.28
PD FELINE S.D DRY 4 LB .1.8 K.,Hasta 30 grados,1.8,0.00526,6,80.06,56.04,336.25
PD CANINE Z.D ULTRA 8 LB .3.6 K.,Hasta 30 grados,3.63,0.013608,5,147.2,103.04,515.2
PD CANINE J.D DRY 27.5 LB .12.5 K.,Hasta 30 grados,12.5,0.0312,1,306.07,214.25,214.25
PD CANINE I.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.011172,4,112.82,78.97,315.9
PD CANINE K.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.0099,9,109.69,76.78,691.05
PD CANINE K.D DRY 17.6 LB .8 K.,Hasta 30 grados,7.9,0.0215,15,217.3,152.11,"2,281.65"
PD CANINE L.D DRY 17.6 LB .8 K.,Hasta 30 grados,7.98,0.02709,3,258.91,181.24,543.71
PD CANINE R.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.01541,2,109.69,76.78,153.57
PD CANINE U.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.009563,8,102.53,71.77,574.17
PD CANINE W.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.015876,8,96.12,67.28,538.27
PD CANINE METABOLIC 6 LB .2.7 K.,Hasta 30 grados,2.7,0.0081,10,82.98,58.09,580.86
PD FELINE METABOLIC 4 LB .1.8 K.,Hasta 30 grados,1.8,0.00546,6,82.98,58.09,348.52
SD CANINE ADULT L.R 33 LB .15 K.,Hasta 30 grados,15.9,0.0401,8,256.61,179.63,"1,437.02"
SD FELINE ADULT OPTIMAL CARE 7LB .3.2 K.,Hasta 30 grados,3.18,0.0054,6,106.63,74.64,447.85
PD CANINE METABOLIC 17.6 LB .8 K.,Hasta 30 grados,7.9,0.0215,8,214.78,150.35,"1,202.77"
SD PUPPY SMALL . TOY 4.5 LB .2 K.,Hasta 30 grados,2.04,0.0051,8,59.54,41.68,333.42
SD CANINE ADULT SMALL . TOY 4.5 LB .2 K.,Hasta 30 grados,2.05,0.01131,32,58.57,41,"1,311.97"
PD FELINE C.D MULTICARE 4 LB .1.8 K.,Hasta 30 grados,1.81,0.00464,36,76.14,53.3,"1,918.73"
PD CANINE I.D LOW FAT 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.00777,7,119.81,83.87,587.07
PD CANINE W.D 17.6 LB .8 K. - .8672.,Hasta 30 grados,8.12,0.022,5,184.25,128.98,644.88
PD CANINE META.MOB 24 LB .10.9 K.,Hasta 30 grados,11.12,0.033,2,321.91,225.34,450.67
SD FELINE ADULT OPTIMAL CARE 16 LB .7.3 K.,Hasta 30 grados,7.25,0.02352,3,185.59,129.91,389.74
SD FELINE ADULT 7. ACTIVE LONGEVITY 7 LB .3.2 K.?,Hasta 30 grados,3.17,0.01196,1,115.47,80.83,80.83
SD FELINE INDOOR 11. AGE DEFYING 7 LB .3.2 K.?,Hasta 30 grados,3.17,0.014469,1,118.64,83.05,83.05
SD CANINE ADULT  35 LB .15.9 K.,Hasta 30 grados,16,0.0551,2,270.97,189.68,379.36
LITERA GATO GRIS .57x39x46.5. .50702.,Hasta 30 grados,1.923,0.031446,2,100.53,70.37,140.74
GERIPET X 30 COMPRIMIDOS,Hasta 30 grados,0.062,0.000378,6,39.62,23.11,138.66
SD CANINE ADULT L.R SMALL . TOY 4.5 LB .2 K.,Hasta 30 grados,2.04,0.0077,100,43.74,43.74,"4,374.00"
SD CANINE ADULT L.R LARGE BREED 33 LB .15 K.,Hasta 30 grados,15.9,0.0401,6,256.61,205.29,"1,231.73"
PD CANINE W.D 17.6 LB .8 K. - .8672.,Hasta 30 grados,8.12,0.022,8,184.25,147.4,"1,179.20"
PD CANINE META.MOB 24 LB .10.9 K.,Hasta 30 grados,11.12,0.033,4,321.91,257.53,"1,030.11"
PD FELINE META.URI 6.35 LB .2.9 K.,Hasta 30 grados,2.96,0.017,6,139.43,111.54,669.26
PD CANINE C.D MULTICARE 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.017,6,119.81,95.85,575.09
SD PUPPY H. DEVELOPMENT SMB 4.5 LB .2 K.,Hasta 30 grados,2.04,0.0053,1,59.54,47.63,47.63
SD PUPPY H. DEVELOPMENT 15.5 LB .7 K.,Hasta 30 grados,7.03,0.0182,1,158.94,127.15,127.15
SD PUPPY SMB 15.5 LB .7 K.,Hasta 30 grados,7.03,0.0182,1,158,126.4,126.4
SD PUPPY LARGE BREED 30 LB .13.6 K.,Hasta 30 grados,13.6,0.0383,1,266.18,212.94,212.94
SD CANINE ADULT L.R SMB 15.5 LB .7 K.,Hasta 30 grados,7.03,0.0195,1,153.22,122.58,122.58
SD CANINE 7 . ACTIVE LONGEVITY SMB 17.5 LB .8 K.,Hasta 30 grados,7.94,0.02,1,148.43,118.74,118.74
SD FELINE ADULT LIGHT 4 LB .1.8 K.,Hasta 30 grados,1.81,0.004,1,68.68,54.94,54.94
SD FELINE ADULT OPTIMAL CARE 4 LB .1.8 K. .6797C.,Hasta 30 grados,1.8,0.00415,1,63.56,50.85,50.85
SD FELINE 7. ACTIVE LONGEVITY 4 LB .1.8 K.?,Hasta 30 grados,1.81,0.004,1,68.33,54.66,54.66
SD FELINE ADULT HAIRBALL CONTROL 3.5 LB .1.6 K.,Hasta 30 grados,1.58,0.00435,1,65.41,52.33,52.33
PD CANINE Z.D ULTRA 8 LB .3.6 K.,Hasta 30 grados,3.63,0.013608,2,147.2,117.76,235.52
PD CANINE K.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.0099,1,109.69,87.75,87.75
PD CANINE K.D DRY 17.6 LB .8 K.,Hasta 30 grados,7.9,0.0215,1,217.3,173.84,173.84
